time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,label
1,1.00E-05,-2.00E-05,-1.00E-05,-3.00E-05,0,-1.00E-05,0,-1.00E-05,0,1
5,1.00E-05,-2.00E-05,-1.00E-05,-3.00E-05,0,-1.00E-05,0,-1.00E-05,0,1
6,-1.00E-05,1.00E-05,2.00E-05,0,1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,0,1
7,-1.00E-05,1.00E-05,2.00E-05,0,1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,0,1
8,-1.00E-05,1.00E-05,2.00E-05,0,1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,0,1
9,-1.00E-05,1.00E-05,2.00E-05,0,1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,0,1
10,-1.00E-05,1.00E-05,2.00E-05,0,1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,0,1
11,-1.00E-05,1.00E-05,2.00E-05,0,1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,0,1
12,-1.00E-05,1.00E-05,2.00E-05,0,1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,0,1
13,-1.00E-05,1.00E-05,2.00E-05,0,1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,0,1
14,-1.00E-05,1.00E-05,2.00E-05,0,1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,0,1
15,-1.00E-05,1.00E-05,2.00E-05,0,1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,0,1
16,-1.00E-05,1.00E-05,2.00E-05,0,1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,0,1
17,-1.00E-05,1.00E-05,2.00E-05,0,1.00E-05,-2.00E-05,-1.00E-05,1.00E-05,0,1
18,-1.00E-05,-1.00E-05,-6.00E-05,-5.00E-05,-3.00E-05,-3.00E-05,-2.00E-05,-2.00E-05,0,1
19,-1.00E-05,-1.00E-05,-6.00E-05,-5.00E-05,-3.00E-05,-3.00E-05,-2.00E-05,-2.00E-05,0,1
20,-1.00E-05,-1.00E-05,-6.00E-05,-5.00E-05,-3.00E-05,-3.00E-05,-2.00E-05,-2.00E-05,0,1
21,-1.00E-05,-1.00E-05,-6.00E-05,-5.00E-05,-3.00E-05,-3.00E-05,-2.00E-05,-2.00E-05,0,1
22,-1.00E-05,-1.00E-05,-6.00E-05,-5.00E-05,-3.00E-05,-3.00E-05,-2.00E-05,-2.00E-05,0,1
23,-1.00E-05,-1.00E-05,-6.00E-05,-5.00E-05,-3.00E-05,-3.00E-05,-2.00E-05,-2.00E-05,0,1
24,-3.00E-05,-1.00E-05,-4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,0,1
25,-3.00E-05,-1.00E-05,-4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,0,1
26,-3.00E-05,-1.00E-05,-4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,0,1
27,-3.00E-05,-1.00E-05,-4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,0,1
28,-3.00E-05,-1.00E-05,-4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,0,1
29,-3.00E-05,-1.00E-05,-4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,0,1
30,-3.00E-05,-1.00E-05,-4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,0,1
31,-3.00E-05,-1.00E-05,-4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,0,1
33,-3.00E-05,-1.00E-05,-4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,0,1
34,-3.00E-05,-1.00E-05,-4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,0,1
35,-3.00E-05,-1.00E-05,-4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,-2.00E-05,0,0,1
45,-1.00E-05,-1.00E-05,-2.00E-05,4.00E-05,-1.00E-05,-1.00E-05,0,-1.00E-05,0,1
47,0,-2.00E-05,-3.00E-05,4.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,0,0,1
48,0,-2.00E-05,-3.00E-05,4.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,0,0,1
49,0,-2.00E-05,-3.00E-05,4.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,0,0,1
50,0,-2.00E-05,-3.00E-05,4.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,0,0,1
51,0,-2.00E-05,-3.00E-05,4.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,0,0,1
52,0,-2.00E-05,-3.00E-05,4.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,0,0,1
53,0,-2.00E-05,-3.00E-05,4.00E-05,-2.00E-05,-1.00E-05,-2.00E-05,0,0,1
54,-1.00E-05,3.00E-05,2.00E-05,4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,0,0,1
55,-1.00E-05,3.00E-05,2.00E-05,4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,0,0,1
56,-1.00E-05,3.00E-05,2.00E-05,4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,0,0,1
57,-1.00E-05,3.00E-05,2.00E-05,4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,0,0,1
58,-1.00E-05,3.00E-05,2.00E-05,4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,0,0,1
59,-1.00E-05,3.00E-05,2.00E-05,4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,0,0,1
60,-1.00E-05,3.00E-05,2.00E-05,4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,0,0,1
61,-1.00E-05,3.00E-05,2.00E-05,4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,0,0,1
62,-1.00E-05,3.00E-05,2.00E-05,4.00E-05,-1.00E-05,-1.00E-05,1.00E-05,0,0,1
63,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
64,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
65,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
66,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
67,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
68,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
69,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
70,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
71,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
72,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
73,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
74,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
75,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
76,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
77,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
78,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
79,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
80,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
81,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
82,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
83,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
84,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
85,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
86,-1.00E-05,-8.00E-05,-8.00E-05,-7.00E-05,-3.00E-05,-2.00E-05,2.00E-05,-2.00E-05,0,1
89,-2.00E-05,0,0,-5.00E-05,0,0,-1.00E-05,-1.00E-05,0,1
90,-2.00E-05,0,0,-5.00E-05,0,0,-1.00E-05,-1.00E-05,0,1
91,-2.00E-05,0,0,-5.00E-05,0,0,-1.00E-05,-1.00E-05,0,1
92,-2.00E-05,0,0,-5.00E-05,0,0,-1.00E-05,-1.00E-05,0,1
93,-2.00E-05,0,0,-5.00E-05,0,0,-1.00E-05,-1.00E-05,0,1
94,-2.00E-05,0,0,-5.00E-05,0,0,-1.00E-05,-1.00E-05,0,1
95,-2.00E-05,0,0,-5.00E-05,0,0,-1.00E-05,-1.00E-05,0,1
96,-2.00E-05,0,0,-5.00E-05,0,0,-1.00E-05,-1.00E-05,0,1
97,-2.00E-05,0,0,-5.00E-05,0,0,-1.00E-05,-1.00E-05,0,1
98,-2.00E-05,0,0,-5.00E-05,0,0,-1.00E-05,-1.00E-05,0,1
99,-2.00E-05,0,0,-5.00E-05,0,0,-1.00E-05,-1.00E-05,0,1
100,-1.00E-05,3.00E-05,4.00E-05,2.00E-05,0,-3.00E-05,-1.00E-05,0,0,1
101,-1.00E-05,-3.00E-05,-4.00E-05,-1.00E-05,-2.00E-05,0,0,-1.00E-05,0,1
102,-1.00E-05,-3.00E-05,-4.00E-05,-1.00E-05,-2.00E-05,0,0,-1.00E-05,0,1
103,-1.00E-05,-3.00E-05,-4.00E-05,-1.00E-05,-2.00E-05,0,0,-1.00E-05,0,1
104,-1.00E-05,-3.00E-05,-4.00E-05,-1.00E-05,-2.00E-05,0,0,-1.00E-05,0,1
105,-1.00E-05,-3.00E-05,-4.00E-05,-1.00E-05,-2.00E-05,0,0,-1.00E-05,0,1
106,0,0,2.00E-05,-2.00E-05,-1.00E-05,0,-1.00E-05,0,0,1
107,0,0,2.00E-05,-2.00E-05,-1.00E-05,0,-1.00E-05,0,0,1
108,0,0,2.00E-05,-2.00E-05,-1.00E-05,0,-1.00E-05,0,0,1
109,0,0,2.00E-05,-2.00E-05,-1.00E-05,0,-1.00E-05,0,0,1
110,0,0,2.00E-05,-2.00E-05,-1.00E-05,0,-1.00E-05,0,0,1
111,0,0,2.00E-05,-2.00E-05,-1.00E-05,0,-1.00E-05,0,0,1
112,0,0,2.00E-05,-2.00E-05,-1.00E-05,0,-1.00E-05,0,0,1
113,0,0,2.00E-05,-2.00E-05,-1.00E-05,0,-1.00E-05,0,0,1
114,-1.00E-05,0,-2.00E-05,-7.00E-05,-2.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
115,-1.00E-05,0,-2.00E-05,-7.00E-05,-2.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
116,-1.00E-05,0,-2.00E-05,-7.00E-05,-2.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
117,-1.00E-05,0,-2.00E-05,-7.00E-05,-2.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
118,-1.00E-05,0,-2.00E-05,-7.00E-05,-2.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
119,-1.00E-05,0,-2.00E-05,-7.00E-05,-2.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
120,-1.00E-05,0,-2.00E-05,-7.00E-05,-2.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
121,-1.00E-05,0,-2.00E-05,-7.00E-05,-2.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
122,-3.00E-05,-7.00E-05,-5.00E-05,-1.00E-04,-2.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,0,1
123,1.00E-05,2.00E-05,-1.00E-05,-3.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,-3.00E-05,0,1
124,1.00E-05,2.00E-05,-1.00E-05,-3.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,-3.00E-05,0,1
125,1.00E-05,2.00E-05,-1.00E-05,-3.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,-3.00E-05,0,1
126,1.00E-05,2.00E-05,-1.00E-05,-3.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,-3.00E-05,0,1
127,1.00E-05,2.00E-05,-1.00E-05,-3.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,-3.00E-05,0,1
128,1.00E-05,2.00E-05,-1.00E-05,-3.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,-3.00E-05,0,1
129,1.00E-05,2.00E-05,-1.00E-05,-3.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,-3.00E-05,0,1
130,1.00E-05,2.00E-05,-1.00E-05,-3.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,-3.00E-05,0,1
131,1.00E-05,2.00E-05,-1.00E-05,-3.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,-3.00E-05,0,1
132,1.00E-05,2.00E-05,-1.00E-05,-3.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,-3.00E-05,0,1
133,1.00E-05,2.00E-05,-1.00E-05,-3.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,-3.00E-05,0,1
134,1.00E-05,2.00E-05,-1.00E-05,-3.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,-3.00E-05,0,1
135,1.00E-05,2.00E-05,-1.00E-05,-3.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,-3.00E-05,0,1
136,1.00E-05,2.00E-05,-1.00E-05,-3.00E-05,-1.00E-05,-1.00E-05,-1.00E-05,-3.00E-05,0,1
139,-1.00E-05,1.00E-05,4.00E-05,0,1.00E-05,-1.00E-05,0,-1.00E-05,0,1
140,-1.00E-05,1.00E-05,4.00E-05,0,1.00E-05,-1.00E-05,0,-1.00E-05,0,1
141,-1.00E-05,1.00E-05,4.00E-05,0,1.00E-05,-1.00E-05,0,-1.00E-05,0,1
142,-1.00E-05,1.00E-05,4.00E-05,0,1.00E-05,-1.00E-05,0,-1.00E-05,0,1
143,-1.00E-05,1.00E-05,4.00E-05,0,1.00E-05,-1.00E-05,0,-1.00E-05,0,1
144,-1.00E-05,1.00E-05,4.00E-05,0,1.00E-05,-1.00E-05,0,-1.00E-05,0,1
145,-1.00E-05,1.00E-05,4.00E-05,0,1.00E-05,-1.00E-05,0,-1.00E-05,0,1
146,-1.00E-05,1.00E-05,4.00E-05,0,1.00E-05,-1.00E-05,0,-1.00E-05,0,1
147,-1.00E-05,1.00E-05,4.00E-05,0,1.00E-05,-1.00E-05,0,-1.00E-05,0,1
148,-1.00E-05,1.00E-05,4.00E-05,0,1.00E-05,-1.00E-05,0,-1.00E-05,0,1
149,-1.00E-05,1.00E-05,4.00E-05,0,1.00E-05,-1.00E-05,0,-1.00E-05,0,1
